ENTIDAD,NOM_ENT,MUN,NOM_MUN,LOC,NOM_LOC,LONGITUD,LATITUD,ALTITUD,POBTOT,POBFEM,POBMAS,P_0A2,P_0A2_F,P_0A2_M,P_3YMAS,P_3YMAS_F,P_3YMAS_M,P_5YMAS,P_5YMAS_F,P_5YMAS_M,P_12YMAS,P_12YMAS_F,P_12YMAS_M,P_15YMAS,P_15YMAS_F,P_15YMAS_M,P_18YMAS,P_18YMAS_F,P_18YMAS_M,P_3A5,P_3A5_F,P_3A5_M,P_6A11,P_6A11_F,P_6A11_M,P_8A14,P_8A14_F,P_8A14_M,P_12A14,P_12A14_F,P_12A14_M,P_15A17,P_15A17_F,P_15A17_M,P_18A24,P_18A24_F,P_18A24_M,P_15A49_F,P_60YMAS,P_60YMAS_F,P_60YMAS_M,REL_H_M,POB0_14,POB15_64,POB65_MAS,P_0A4,P_0A4_F,P_0A4_M,P_5A9,P_5A9_F,P_5A9_M,P_10A14,P_10A14_F,P_10A14_M,P_15A19,P_15A19_F,P_15A19_M,P_20A24,P_20A24_F,P_20A24_M,P_25A29,P_25A29_F,P_25A29_M,P_30A34,P_30A34_F,P_30A34_M,P_35A39,P_35A39_F,P_35A39_M,P_40A44,P_40A44_F,P_40A44_M,P_45A49,P_45A49_F,P_45A49_M,P_50A54,P_50A54_F,P_50A54_M,P_55A59,P_55A59_F,P_55A59_M,P_60A64,P_60A64_F,P_60A64_M,P_65A69,P_65A69_F,P_65A69_M,P_70A74,P_70A74_F,P_70A74_M,P_75A79,P_75A79_F,P_75A79_M,P_80A84,P_80A84_F,P_80A84_M,P_85YMAS,P_85YMAS_F,P_85YMAS_M,PROM_HNV,PNACENT,PNACENT_F,PNACENT_M,PNACOE,PNACOE_F,PNACOE_M,PRES2015,PRES2015_F,PRES2015_M,PRESOE15,PRESOE15_F,PRESOE15_M,P3YM_HLI,P3YM_HLI_F,P3YM_HLI_M,P3HLINHE,P3HLINHE_F,P3HLINHE_M,P3HLI_HE,P3HLI_HE_F,P3HLI_HE_M,P5_HLI,P5_HLI_NHE,P5_HLI_HE,PHOG_IND,POB_AFRO,POB_AFRO_F,POB_AFRO_M,PCON_DISC,PCDISC_MOT,PCDISC_VIS,PCDISC_LENG,PCDISC_AUD,PCDISC_MOT2,PCDISC_MEN,PCON_LIMI,PCLIM_CSB,PCLIM_VIS,PCLIM_HACO,PCLIM_OAUD,PCLIM_MOT2,PCLIM_RE_CO,PCLIM_PMEN,PSIND_LIM,P3A5_NOA,P3A5_NOA_F,P3A5_NOA_M,P6A11_NOA,P6A11_NOAF,P6A11_NOAM,P12A14NOA,P12A14NOAF,P12A14NOAM,P15A17A,P15A17A_F,P15A17A_M,P18A24A,P18A24A_F,P18A24A_M,P8A14AN,P8A14AN_F,P8A14AN_M,P15YM_AN,P15YM_AN_F,P15YM_AN_M,P15YM_SE,P15YM_SE_F,P15YM_SE_M,P15PRI_IN,P15PRI_INF,P15PRI_INM,P15PRI_CO,P15PRI_COF,P15PRI_COM,P15SEC_IN,P15SEC_INF,P15SEC_INM,P15SEC_CO,P15SEC_COF,P15SEC_COM,P18YM_PB,P18YM_PB_F,P18YM_PB_M,GRAPROES,GRAPROES_F,GRAPROES_M,PEA,PEA_F,PEA_M,PE_INAC,PE_INAC_F,PE_INAC_M,POCUPADA,POCUPADA_F,POCUPADA_M,PDESOCUP,PDESOCUP_F,PDESOCUP_M,PSINDER,PDER_SS,PDER_IMSS,PDER_ISTE,PDER_ISTEE,PAFIL_PDOM,PDER_SEGP,PDER_IMSSB,PAFIL_IPRIV,PAFIL_OTRAI,P12YM_SOLT,P12YM_CASA,P12YM_SEPA,PCATOLICA,PRO_CRIEVA,POTRAS_REL,PSIN_RELIG,TOTHOG,HOGJEF_F,HOGJEF_M,POBHOG,PHOGJEF_F,PHOGJEF_M,VIVTOT,TVIVHAB,TVIVPAR,VIVPAR_HAB,VIVPARH_CV,TVIVPARHAB,VIVPAR_DES,VIVPAR_UT,OCUPVIVPAR,PROM_OCUP,PRO_OCUP_C,VPH_PISODT,VPH_PISOTI,VPH_1DOR,VPH_2YMASD,VPH_1CUART,VPH_2CUART,VPH_3YMASC,VPH_C_ELEC,VPH_S_ELEC,VPH_AGUADV,VPH_AEASP,VPH_AGUAFV,VPH_TINACO,VPH_CISTER,VPH_EXCSA,VPH_LETR,VPH_DRENAJ,VPH_NODREN,VPH_C_SERV,VPH_NDEAED,VPH_DSADMA,VPH_NDACMM,VPH_SNBIEN,VPH_REFRI,VPH_LAVAD,VPH_HMICRO,VPH_AUTOM,VPH_MOTO,VPH_BICI,VPH_RADIO,VPH_TV,VPH_PC,VPH_TELEF,VPH_CEL,VPH_INTER,VPH_STVP,VPH_SPMVPI,VPH_CVJ,VPH_SINRTV,VPH_SINLTC,VPH_SINCINT,VPH_SINTIC,TAMLOC
14,Jalisco,98,San Pedro Tlaquepaque,1,Tlaquepaque,"103°18'26.000"" W","20°38'19.000"" N",1569.0,650123,329365,320758,31151,15544,15607,614936,311804,303132,591435,300083,291352,513697,261900,251797,480222,245482,234740,446054,228790,217264,34713,17291,17422,66526,32613,33913,78350,38394,39956,33475,16418,17057,34168,16692,17476,81510,40470,41040,178739,63322.0,34215,29107,97.39,165865,439328,40894,54652,27265,27387,55349,27311,28038,55864,27290,28574,57862,28414,29448,57816,28748,29068,53437,26526,26911,50252,25443,24809,48210,24529,23681,44517,23175,21342,42578,21904,20674,35426,18503,16923,26802,14025,12777,22428,12064,10364,16134,8512,7622,11068,6022,5046,6690,3505,3185,3836,2165,1671,3166,1947,1219,2,562331,285481,276850,79810,39955,39855,576935,293421,283514,12424,5848,6576,3094,1472,1622,36,15,21,3017,1440,1577,3059,26,2992,7470,     9525,     4745,     4780,27295,13578,11609,3833,5251.0,4729,4998,60198,19132,37391,3674,12699,2851,12639,8639,553878,14404,7098,7306,3448,1650,1798,3371,1517,1854,24148,12303,11845,27507,14054,13453,1980,847,1133,10828,6089,4739,15070,8172,6898,29239,15638,13601,62610,33250,29360,15440,6708,8732,122719,63092,59627,218234,109401,108833,10.15,10.05,10.26,338064,142633,195431,174513,118802,55711,332870,141084,191786,5194,1549,3645,192383,453251,391100,12916,821,903,38285,955,10807,3683,188196,266120,59129,579707,31185,629.0,33766,174792,59233,115559,649090,211169,437921,197688,174879,186169,163360,174605,174792,20045,2764,649090,3.71,0.99,169744,3717,38715,134773,4227,19357,149905,173315,182,172836,169306,661,120421,59923.0,173072,194,173109,346,172435,19,172914,71528,328,166995,145971,103381,95294,19350,35866,134788,167939,83644,80182,162628,115922,70686,48061,34427,2490,6105,49350,710,13
18,Nayarit,17,Tepic,1,Tepic,"104°53'37.677"" W","21°30'26.687"" N",0926,371387,192530,178857,15173,7408,7765,355693,184862,170831,343689,178877,164812,301161,158028,143133,282638,149016,133622,264082,139838,124244,17965,8925,9040,36567,17909,18658,43363,21157,22206,18523,9012,9511,18556,9178,9378,44966,22648,22318,101886,47112.0,26207,20905,92.9,88228,250915,31723,27177,13393,13784,30104,14749,15355,30947,15112,15835,31422,15713,15709,32100,16113,15987,29380,14945,14435,28720,14984,13736,26809,14003,12806,25480,13628,11852,23608,12500,11108,20569,11268,9301,17438,9655,7783,15389,8587,6802,11500,6251,5249,8195,4563,3632,5507,2997,2510,3512,2015,1497,3009,1794,1215,1.98,310809,161497,149312,56241,28880,27361,329358,172209,157149,12367,5986,6381,5987,2923,3064,63,39,24,5889,2867,3022,5855,53,5767,10112,     3280,     1634,     1646,20005,9190,8543,2701,3659.0,3384,3749,51726,13911,32979,2647,8931,1595,11626,5356,296929,5342,2618,2724,900,425,475,912,351,561,15473,7892,7581,22224,11581,10643,689,275,414,4755,2612,2143,6391,3400,2991,13373,7188,6185,21568,11453,10115,6996,2900,4096,56692,28832,27860,167282,89586,77696,11.51,11.58,11.44,195162,90780,104382,104117,67027,37090,192170,89823,102347,2992,957,2035,79816,290863,179800,66041,4293,2142,41831,1179,6093,981,108176,151441,41440,309017,31311,670.0,29505,111304,42066,69238,368738,128854,239884,137237,111375,133816,107954,111127,111304,19391,6471,368738,3.31,0.82,109998,948,26713,84233,3046,11402,96496,110642,304,110336,109435,610,94794,56332.0,110595,123,110711,226,110056,57,110580,45197,296,105292,87899,60570,59659,16588,15831,74580,105478,59266,43050,104999,77188,58117,32761,19415,2675,2880,27735,490,12
14,Jalisco,101,Tonalá,1,Tonalá,"103°14'44.000"" W","20°37'24.000"" N",1653.0,442440,224155,218285,18905,9172,9733,420178,213306,206872,405174,205838,199336,349415,178448,170967,325320,166627,158693,300513,154251,146262,22966,11390,11576,47797,23468,24329,55950,27416,28534,24095,11821,12274,24807,12376,12431,57967,28704,29263,121344,40756.0,21435,19321,97.38,113763,300405,24915,33909,16640,17269,39998,19617,20381,39856,19594,20262,41813,20655,21158,40961,20425,20536,36686,18623,18063,33065,16782,16283,30934,15810,15124,27971,14550,13421,27880,14499,13381,25124,13305,11819,20130,10543,9587,15841,8235,7606,10493,5412,5081,6456,3357,3099,3948,2073,1875,2272,1305,967,1746,1053,693,2.09,395508,200166,195342,41280,21142,20138,399035,202915,196120,4864,2428,2436,1210,580,630,18,8,10,1114,535,579,1186,13,1099,2535,     6481,     3154,     3327,20273,9748,8795,2901,3728.0,3516,3925,46758,14396,29554,2862,9053,2121,9883,5556,369295,9780,4797,4983,2517,1165,1352,2704,1181,1523,16492,8654,7838,17233,8806,8427,1512,631,881,7482,4107,3375,11112,6001,5111,21016,10856,10160,48831,25603,23228,11925,5120,6805,93473,48027,45446,127711,64771,62940,9.56,9.53,9.6,231648,96569,135079,116876,81501,35375,227931,95462,132469,3717,1107,2610,163224,275241,222741,8975,511,763,36441,1032,4200,3151,129282,179998,39828,393202,24822,305.0,20135,114014,37863,76151,442063,140077,301986,127520,114044,116417,102941,113894,114014,12018,1458,442063,3.88,1.07,110338,2569,24513,88425,3742,14160,95033,112822,118,112379,110516,559,89449,54037.0,112610,174,112570,275,112026,15,112398,51235,274,108014,93815,60757,55944,14990,25194,88954,108966,45982,46513,105849,71758,45463,25257,19790,1826,4272,35859,539,12
15,México,104,Tlalnepantla de Baz,1,Tlalnepantla," 99°11'42.714"" W","19°32'18.684"" N",2253.0,658907,338453,320454,20266,10006,10260,637500,327874,309626,620724,319635,301089,562655,291081,271574,535926,278016,257910,507713,263966,243747,25419,12580,12839,49426,24213,25213,60326,29545,30781,26729,13065,13664,28213,14050,14163,70275,34263,36012,173342,109055.0,61023,48032,94.68,121840,459690,76236,37042,18245,18797,40808,20100,20708,43990,21519,22471,48149,23809,24340,50339,24504,25835,51008,25138,25870,48700,24308,24392,48943,25033,23910,48156,24866,23290,49319,25684,23635,45367,23991,21376,36890,19660,17230,32819,17954,14865,25453,14131,11322,20160,11296,8864,14165,7887,6278,9354,5378,3976,7104,4377,2727,1.78,359184,182834,176350,287048,152602,134446,593706,309469,284237,17475,8838,8637,7858,4122,3736,50,38,12,7589,3999,3590,7839,50,7571,18361,    10886,     5460,     5426,30176,15100,12671,4106,7251.0,5516,5271,74233,24658,49057,4853,18443,4829,13868,8850,548023,9414,4566,4848,2965,1505,1460,2111,984,1127,22878,11656,11222,30023,14849,15174,844,380,464,9234,6382,2852,15276,8754,6522,22653,13711,8942,56616,32003,24613,13561,5980,7581,113291,56592,56699,294786,149686,145100,10.97,10.8,11.15,346361,149145,197216,214863,141211,73652,338836,146546,192290,7525,2599,4926,182963,470823,352231,39702,4612,5444,54866,2143,11088,7381,202799,276203,82978,516789,46521,2253.0,90305,196407,70153,126254,650941,214173,436768,213197,196451,200542,183796,196213,196407,12108,4638,650941,3.31,0.8,194460,1279,61043,134759,9759,28110,157923,195714,123,195540,194430,241,166429,54037.0,195526,82,195505,82,195191,3,195363,97810,489,184545,163558,130220,93248,15067,28848,151239,189896,107904,127296,177614,139359,89812,54818,33695,3150,8057,48218,858,13
17,Morelos,7,Cuernavaca,1,Cuernavaca," 99°14'05.629"" W","18°55'18.418"" N",1522.0,341029,180370,160659,11853,5741,6112,328967,174521,154446,319767,169935,149832,288357,154442,133915,273573,147085,126488,258376,139592,118784,13812,6857,6955,26798,13222,13576,33038,16332,16706,14784,7357,7427,15197,7493,7704,37460,18976,18484,89974,60536.0,34434,26102,89.07,67247,230650,42923,21053,10327,10726,22120,10962,11158,24074,11888,12186,25734,12740,12994,26923,13729,13194,25618,13182,12436,24489,12832,11657,23487,12417,11070,22891,12527,10364,23145,12547,10598,21817,12056,9761,18933,10621,8312,17613,9890,7723,14148,7800,6348,10970,6147,4823,7561,4291,3270,5240,3140,2100,5004,3166,1838,1.79,224966,116565,108401,111010,61170,49840,301118,160261,140857,16301,8539,7762,4244,2248,1996,32,21,11,4139,2184,1955,4214,28,4113,9051,     8761,     4608,     4153,18662,9452,7885,2653,4649.0,3671,3793,47029,15354,29351,2530,11090,2121,10738,4548,272676,3780,1912,1868,950,450,500,822,362,460,12335,6221,6114,17290,8919,8371,495,197,298,5773,3743,2030,7890,4899,2991,11764,6769,4995,24105,13666,10439,6380,2920,3460,53526,28323,25203,161152,85550,75602,11.47,11.32,11.64,183525,85887,97638,103935,68073,35862,178809,84279,94530,4716,1608,3108,96547,243642,149996,31306,1077,2567,51793,1210,9774,1625,102870,139667,45289,245671,42704,1187.0,50343,103947,40444,63503,339056,121328,217728,133748,104049,125871,96172,103775,103947,17267,12432,339056,3.26,0.79,102657,1037,28760,74949,5778,12726,85202,103612,99,102917,95232,793,92777,53873.0,103351,129,103406,258,102635,13,103222,46227,292,98669,78309,60363,54292,9307,6969,77181,97303,57462,62732,95992,76815,56449,32135,15469,2888,3039,23229,521,12
15,México,122,Valle de Chalco Solidaridad,1,Xico," 98°56'36.415"" W","19°16'43.554"" N",2248.0,384327,197382,186945,18815,9337,9478,365383,187976,177407,351041,180851,170190,302956,157152,145804,282055,146664,135391,261575,136398,125177,21744,10810,10934,40683,20014,20669,48438,24036,24402,20901,10488,10413,20480,10266,10214,45195,22598,22597,106592,38494.0,20292,18202,94.71,102143,258940,23115,33157,16462,16695,34077,16835,17242,34909,17352,17557,33748,16838,16910,31927,16026,15901,32640,16807,15833,31078,16270,14808,29652,15459,14193,26246,13781,12465,21726,11411,10315,19384,10461,8923,17160,9319,7841,15379,8246,7133,10474,5397,5077,6141,3065,3076,3277,1693,1584,1743,968,775,1480,923,557,2.04,205056,103372,101684,177215,92925,84290,337225,173877,163348,12712,6504,6208,10541,5504,5037,111,72,39,10125,5266,4859,10500,109,10092,28845,     5826,     2939,     2887,20907,8643,10317,2868,4189.0,2826,3397,52020,14486,36165,3172,10173,2242,9668,5098,308710,8870,4314,4556,1943,912,1031,1715,796,919,15278,7981,7297,12833,6647,6186,927,381,546,8837,5841,2996,12095,7419,4676,20375,11261,9114,41413,21804,19609,10877,4732,6145,87774,44894,42880,99875,51230,48645,9.12,9.02,9.23,193964,80958,113006,108042,75707,32335,189905,79880,110025,4059,1078,2981,164682,218828,107114,18363,3576,2885,79132,1023,3661,4388,102407,159111,41048,283603,40444,957.0,58002,102543,33303,69240,384084,116008,268076,108885,102574,101309,94998,102340,102543,5111,1200,384084,3.75,1.17,98791,3343,48684,53531,12359,27577,62260,102089,126,101024,99054,1182,75129,50986.0,101694,346,101350,454,100407,21,101137,67442,557,84238,68562,41048,27459,12269,43533,75722,95197,31153,46050,90402,57759,24085,10623,8677,3382,6729,40331,976,12
11,Guanajuato,7,Celaya,1,Celaya,"100°48'48.863"" W","20°31'17.486"" N",1759.0,378143,194849,183294,14880,7189,7691,362428,187242,175186,350008,181197,168811,308186,160882,147304,290090,151947,138143,271294,142805,128489,19347,9404,9943,34895,16956,17939,41645,20322,21323,18096,8935,9161,18796,9142,9654,45209,22381,22828,105308,45462.0,24953,20509,94.07,87218,260410,29680,27300,13234,14066,29787,14517,15270,30131,14733,15398,31746,15506,16240,32259,16017,16242,30618,15655,14963,28974,15191,13783,28853,15187,13666,26874,14298,12576,25121,13454,11667,22200,12014,10186,17983,9672,8311,15782,8634,7148,11324,6060,5264,7838,4324,3514,4845,2628,2217,3072,1764,1308,2601,1543,1058,1.86,323697,167555,156142,51173,25739,25434,339761,176706,163055,8357,3927,4430,977,423,554,13,9,4,889,376,513,971,11,887,2355,     8976,     4528,     4448,13771,6841,5837,2184,2911.0,2715,2601,35349,11070,22472,2248,7500,1921,6623,4028,325744,6095,2982,3113,1749,855,894,1505,678,827,14638,7304,7334,18887,9414,9473,960,448,512,6232,4063,2169,9431,5793,3638,11810,6749,5061,30707,17247,13460,6741,3036,3705,71987,37776,34211,148475,75469,73006,10.75,10.56,10.95,196254,86341,109913,111206,74230,36976,192614,85195,107419,3640,1146,2494,84023,292839,192619,27223,564,584,64504,1376,8232,1814,110540,161345,36040,323670,22843,448.0,29707,108515,38084,70431,376782,124181,252601,135989,108600,130164,102775,108441,108515,23043,4346,376782,3.47,0.87,106374,1781,25338,82860,2140,12104,93949,107992,215,107546,105484,660,88099,47219.0,107976,130,107860,221,107220,32,107757,41276,269,104474,92612,69917,61077,15447,37628,77878,103879,54895,55613,99949,71470,57706,26884,17210,2254,4288,30995,675,12
9,Ciudad de México,13,Xochimilco,1,Xochimilco," 99°06'17.688"" W","19°15'48.463"" N",2237.0,429481,220393,209088,13256,6562,6694,416016,213725,202291,405296,208393,196903,362861,187561,175300,343395,178048,165347,323487,168269,155218,16402,8077,8325,36753,18087,18666,44257,21641,22616,19466,9513,9953,19908,9779,10129,49696,24658,25038,117212,60013.0,33209,26804,94.87,85877,303293,40102,23976,11894,12082,29807,14670,15137,32094,15675,16419,33799,16677,17122,35805,17760,18045,35440,17415,18025,33274,16764,16510,32286,16573,15713,30814,16093,14721,30242,15930,14312,28417,15154,13263,23305,12473,10832,19911,10731,9180,14687,7958,6729,10713,5920,4793,6704,3700,3004,4184,2484,1700,3814,2416,1398,1.76,356026,180635,175391,71456,38828,32628,393254,203999,189255,7714,4049,3665,9774,4983,4791,78,50,28,9615,4912,4703,9715,78,9556,23694,     9450,     4675,     4775,22396,10396,10076,2715,5198.0,3579,3670,56318,16841,37623,2769,11964,2266,10149,6861,347214,4960,2407,2553,1393,654,739,1225,570,655,15574,7863,7711,20819,10715,10104,727,293,434,6521,4254,2267,8611,5261,3350,14749,8492,6257,34974,19091,15883,10661,4522,6139,78095,38744,39351,185428,95918,89510,10.89,10.81,10.98,228723,100127,128596,133598,87159,46439,223296,98248,125048,5427,1879,3548,132302,296822,130493,71050,487,3943,78692,1313,9180,6911,128861,184135,49790,334398,31556,1255.0,61634,113760,41795,71965,425341,146854,278487,126945,113806,125654,112515,113663,113760,10090,3049,425341,3.74,0.9,111173,2427,34443,79162,9718,15173,88711,113454,152,105950,98155,7656,93455,45326.0,111856,1391,112974,632,105537,20,112088,59337,433,102362,87216,65121,49400,11963,32403,91225,108691,57771,73558,103667,76691,37430,26527,17581,2180,4140,31951,641,12
22,Querétaro,14,Querétaro,1,Santiago de Querétaro,"100°23'23.846"" W","20°35'36.208"" N",1832.0,794789,407239,387550,30552,15306,15246,759913,389768,370145,736633,378334,358299,659366,340408,318958,625470,323813,301657,590985,307025,283960,34424,16801,17623,66123,32559,33564,78351,38510,39841,33896,16595,17301,34485,16788,17697,99775,49531,50244,226976,91728.0,50786,40942,95.17,164995,566279,59191,53832,26740,27092,54659,26831,27828,56504,27690,28814,60216,29509,30707,74044,36810,37234,79268,39225,40043,68405,34333,34072,60445,30906,29539,54394,28559,25835,52214,27634,24580,47020,25670,21350,37736,20381,17355,32537,17657,14880,22539,12257,10282,15791,8723,7068,9763,5430,4333,5951,3481,2470,5147,3238,1909,1.69,486261,249062,237199,294734,151486,143248,658996,340324,318672,72034,35501,36533,6059,2733,3326,36,19,17,5962,2686,3276,6012,34,5917,13065,    19134,     9472,     9662,30154,14461,13194,4022,6260.0,5548,5565,82226,23748,53288,4104,16709,3831,15942,9777,672110,12398,5996,6402,3031,1485,1546,2399,1055,1344,27407,13800,13607,41940,21057,20883,1256,548,708,8969,6239,2730,12940,8379,4561,17694,10682,7012,50577,28750,21827,13628,5958,7670,127996,65491,62505,382587,193399,189188,11.7,11.49,11.93,444459,199094,245365,213312,140540,72772,435573,195964,239609,8886,3130,5756,148516,640840,479049,41408,1552,3214,93233,2352,33474,3555,256112,331084,71366,643581,54317,1845.0,88942,234037,82535,151502,792889,262568,530321,269140,234176,252620,217656,233775,234037,26987,7977,792889,3.39,0.82,229970,2461,48806,183692,6254,19224,207017,232295,209,231537,226139,965,209480,45319.0,232060,270,232225,254,231220,20,232014,80864,421,224085,192413,154308,146728,19123,36299,176751,222146,144852,150029,222566,196525,167190,87957,49368,4692,4248,29474,820,13
12,Guerrero,1,Acapulco de Juárez,1,Acapulco de Juárez," 99°53'11.608"" W","16°51'42.721"" N",0019,658609,345979,312630,26204,12847,13357,623218,328537,294681,603474,318830,284644,530936,283285,247651,498753,267406,231347,466124,251239,214885,29731,14565,15166,62551,30687,31864,74819,36729,38090,32183,15879,16304,32629,16167,16462,73809,38082,35727,174696,93444.0,52122,41322,90.36,150669,435294,63459,45948,22554,23394,50928,25055,25873,53793,26369,27424,54311,27129,27182,52127,27120,25007,46789,24640,22149,45435,24225,21210,44882,24208,20674,44859,24322,20537,42833,23052,19781,39727,21792,17935,34346,18796,15550,29985,16532,13453,23858,13189,10669,16676,9071,7605,10669,5864,4805,6631,3927,2704,5625,3539,2086,2.01,592602,312517,280085,53785,27386,26399,590193,312660,277533,11467,5534,5933,10644,5763,4881,144,102,42,10431,5635,4796,10563,141,10353,24526,    66408,    34851,    31557,42363,22867,18419,5891,7862.0,7020,7635,88268,32428,56317,5259,16197,3979,18221,9822,514051,10022,4880,5142,2523,1209,1314,2083,955,1128,26994,13537,13457,29476,15554,13922,1956,796,1160,22993,15141,7852,27616,17474,10142,34337,20215,14122,54643,31198,23445,17061,8029,9032,97751,51220,46531,249175,129716,119459,10.28,10.08,10.5,329782,150759,179023,198517,131916,66601,322732,148561,174171,7050,2198,4852,179490,469378,265789,68079,2596,12612,119308,4278,3186,1518,176790,267431,86422,457366,88671,767.0,101813,191507,78140,113367,655758,257433,398325,288312,191604,263491,166783,191128,191507,48509,48199,655758,3.42,1.11,178410,10019,67507,120959,23286,42025,123153,187901,572,178274,159275,10195,128676,45103.0,185782,904,186459,1958,176761,92,185806,126080,1270,175082,118773,54191,56662,11525,11810,115241,171924,62418,74467,171789,100530,71084,24104,11023,9550,10012,80232,2541,13
5,Coahuila de Zaragoza,35,Torreón,1,Torreón,"103°27'11.018"" W","25°32'30.312"" N",1110.0,690193,353744,336449,32066,15729,16337,656827,337365,319462,633143,325742,307401,553202,286638,266564,519460,269962,249498,485319,253213,232106,35202,17297,17905,68423,33430,34993,79367,38915,40452,33742,16676,17066,34141,16749,17392,81614,40831,40783,184668,84070.0,46243,37827,95.11,169433,463931,55529,55750,27352,28398,56622,27809,28813,57061,27971,29090,57995,28588,29407,57760,28992,28768,52715,26855,25860,49092,25297,23795,48245,24677,23568,48752,25453,23299,47258,24806,22452,40842,21748,19094,32731,17303,15428,28541,15301,13240,20636,11196,9440,15097,8196,6901,9428,5238,4190,5929,3495,2434,4439,2817,1622,1.93,580226,296000,284226,104960,55324,49636,610560,315118,295442,20432,9743,10689,897,348,549,13,9,4,870,335,535,891,11,866,1934,     9980,     5066,     4914,31004,14976,13621,4144,5752.0,6249,5165,72631,21559,47669,4199,13922,3633,12700,8278,580801,12521,6125,6396,2563,1216,1347,2287,1054,1233,26310,13156,13154,31566,15541,16025,1529,610,919,5953,3071,2882,8029,4196,3833,20655,11466,9189,52038,28736,23302,14010,6681,7329,118189,61699,56490,282545,143496,139049,11.21,11.09,11.35,344016,146757,197259,207609,139418,68191,336418,144443,191975,7598,2314,5284,150622,537746,438588,49927,1358,2527,27986,1564,27688,5477,189050,294070,69798,550624,78667,693.0,58033,207066,68966,138100,687895,210146,477749,251174,207158,239649,195633,206962,207066,36811,7205,687895,3.32,0.8,204582,1904,46463,160038,2042,12912,191548,206335,176,206120,203797,388,142259,44720.0,206041,226,206183,292,205745,23,206018,80529,399,200624,176077,134403,118962,17583,43383,146826,200892,96789,83329,192105,133112,104492,56258,34919,2868,8801,63643,908,13
9,Ciudad de México,11,Tláhuac,1,Tláhuac," 99°00'17.446"" W","19°16'14.039"" N",2250.0,323771,167274,156497,10591,5293,5298,313059,161919,151140,304526,157785,146741,270827,141356,129471,255658,133827,121831,239991,126222,113769,13122,6341,6781,29110,14222,14888,34805,17097,17708,15169,7529,7640,15667,7605,8062,38435,18908,19527,91191,38878.0,21460,17418,93.56,67992,230764,24894,19124,9427,9697,23624,11543,12081,25244,12415,12829,26451,12841,13610,27651,13672,13979,27640,14032,13608,25312,13163,12149,23848,12511,11337,23011,12242,10769,23564,12730,10834,21882,11807,10075,17421,9369,8052,13984,7553,6431,9683,5176,4507,6739,3727,3012,3885,2184,1701,2518,1501,1017,2069,1319,750,1.79,268886,137154,131732,53787,29555,24232,296897,153919,142978,7096,3659,3437,3657,1919,1738,30,17,13,3610,1897,1713,3639,29,3593,9965,     6627,     3343,     3284,17408,8059,7932,2140,3674.0,2604,2875,38761,12173,25652,2029,8072,1830,7439,5132,264870,4075,1936,2139,1313,623,690,923,412,511,12520,6232,6288,16226,8172,8054,533,243,290,3972,2709,1263,5301,3427,1874,10667,6462,4205,26172,15000,11172,7949,3651,4298,62502,31980,30522,134520,68767,65753,10.63,10.47,10.81,171585,74821,96764,98812,66309,32503,167943,73564,94379,3642,1257,2385,87228,236335,115843,41416,374,3090,71905,959,3691,2183,97838,135090,37849,243719,27724,837.0,51052,89429,32699,56730,323503,109837,213666,98856,89454,97703,88301,89287,89429,7656,1746,323503,3.62,0.92,88233,1022,24979,64265,5453,11658,72134,89165,82,88384,85800,860,74705,43833.0,88914,197,89097,146,88232,7,88932,50278,280,81844,69975,50744,34940,8725,31802,69003,85436,43984,55595,80902,61756,37380,19533,13957,1868,3412,23398,521,12
21,Puebla,156,Tehuacán,1,Tehuacán," 97°23'31.196"" W","18°27'43.864"" N",1628.0,293825,155300,138525,14239,7008,7231,279534,148267,131267,269157,143124,126033,233174,125278,107896,217291,117382,99909,200570,109069,91501,15572,7705,7867,30788,15284,15504,36628,18177,18451,15883,7896,7987,16721,8313,8408,38399,19583,18816,86165,28784.0,16584,12200,89.2,76482,198604,18687,24616,12151,12465,25724,12817,12907,26142,12925,13217,28131,14030,14101,26989,13866,13123,24155,12890,11265,22592,12362,10230,22047,12075,9972,20545,11279,9266,17694,9663,8031,14802,8279,6523,11552,6354,5198,10097,5752,4345,6977,3974,3003,4658,2576,2082,3091,1775,1316,2018,1231,787,1943,1276,667,1.92,243407,127419,115988,49272,27338,21934,257843,137700,120143,9783,5066,4717,24419,13711,10708,376,267,109,23767,13373,10394,24315,376,23663,61459,     4538,     2324,     2214,14538,6293,6882,2120,3132.0,2512,2730,38445,10705,25302,2260,7332,1400,8829,3256,239332,4820,2333,2487,1142,523,619,1617,691,926,12343,6498,5845,14879,7767,7112,745,298,447,9478,6567,2911,10182,6808,3374,18986,10682,8304,32427,18024,14403,8519,3801,4718,44793,23266,21527,94348,50245,44103,9.7,9.55,9.88,157313,73368,83945,75218,51644,23574,154919,72595,82324,2394,773,1621,103380,190200,95179,13810,3130,2112,72081,1024,2467,2809,87443,115684,29859,229541,38422,387.0,24924,77411,28632,48779,292663,101904,190759,94175,77437,91223,74485,77273,77411,12565,4173,292663,3.78,1.04,73969,3279,25906,51351,6486,12569,58202,77059,200,75906,68870,1352,56193,42322.0,75906,1206,76828,430,75528,35,76215,46800,476,64337,45508,25712,26000,7762,21937,57637,70138,29465,23908,71075,41974,26771,10327,5919,3058,4084,31108,743,12
